"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8802","Should upload Admin Profile picture","admin","Wed May 13 14:43:13 UTC 2026","passed","Wed May 13 14:43:22 UTC 2026","Admin Dashboard & Navigation Tests @admin","AdminPanel/admin_dashboard_navigation.spec.js","",""
"","5389","Navigation: Profile link should be accessible from home","chromium","Wed May 13 14:41:38 UTC 2026","passed","Wed May 13 14:41:43 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","11254","Cart: Continue shopping should navigate to home page","chromium","Wed May 13 14:36:12 UTC 2026","passed","Wed May 13 14:36:23 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","654","Login: Password visibility toggle works","chromium","Wed May 13 14:34:55 UTC 2026","passed","Wed May 13 14:34:56 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","607","Navigation: Contact link accessible from login page","chromium","Wed May 13 14:35:17 UTC 2026","passed","Wed May 13 14:35:18 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","9555","Orders: Should display appropriate message for new users","chromium","Wed May 13 14:40:39 UTC 2026","passed","Wed May 13 14:40:49 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","7498","Logout: User can logout from home page","chromium","Wed May 13 14:34:56 UTC 2026","passed","Wed May 13 14:35:03 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","4116","Should search for a product","admin","Wed May 13 14:44:31 UTC 2026","passed","Wed May 13 14:44:35 UTC 2026","Admin Product Management @admin","AdminPanel/admin_products.spec.js","",""
"","4995","Profile: Logout should work from profile page","chromium","Wed May 13 14:40:18 UTC 2026","passed","Wed May 13 14:40:23 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","3164","Should update order status","admin","Wed May 13 14:43:22 UTC 2026","passed","Wed May 13 14:43:25 UTC 2026","Admin Order Management @admin","AdminPanel/admin_orders.spec.js","",""
"","1062","Should submit contact form with valid data","chromium","Wed May 13 14:39:04 UTC 2026","passed","Wed May 13 14:39:05 UTC 2026","Contact Form Tests @contact","contact.spec.js","",""
"","7523","authenticate as admin","setup","Wed May 13 14:34:12 UTC 2026","passed","Wed May 13 14:34:19 UTC 2026","","admin.setup.js","",""
"","10441","Cart: Should display order summary correctly","chromium","Wed May 13 14:35:32 UTC 2026","passed","Wed May 13 14:35:42 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","5605","Profile: Should display user information","chromium","Wed May 13 14:40:06 UTC 2026","passed","Wed May 13 14:40:12 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","5011","Profile: Page should handle loading states","chromium","Wed May 13 14:42:10 UTC 2026","passed","Wed May 13 14:42:15 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","2232","Should filter orders by status","admin","Wed May 13 14:43:25 UTC 2026","passed","Wed May 13 14:43:27 UTC 2026","Admin Order Management @admin","AdminPanel/admin_orders.spec.js","",""
"","2195","Should sync activity logs","admin","Wed May 13 14:42:27 UTC 2026","passed","Wed May 13 14:42:29 UTC 2026","Admin Activity Logs @admin","AdminPanel/admin_activity_logs.spec.js","",""
"","20758","Cart: Cart should be accessible from product page","chromium","Wed May 13 14:37:33 UTC 2026","passed","Wed May 13 14:37:54 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","5348","Wishlist: Page should handle loading states","chromium","Wed May 13 14:42:21 UTC 2026","passed","Wed May 13 14:42:26 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","9926","Cart: Proceed to checkout button should be visible","chromium","Wed May 13 14:35:52 UTC 2026","passed","Wed May 13 14:36:02 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","3776","Should verify Admin Profile settings","admin","Wed May 13 14:43:09 UTC 2026","passed","Wed May 13 14:43:13 UTC 2026","Admin Dashboard & Navigation Tests @admin","AdminPanel/admin_dashboard_navigation.spec.js","",""
"","1975","Should verify user directory table structure","admin","Wed May 13 14:46:56 UTC 2026","passed","Wed May 13 14:46:57 UTC 2026","Admin User Directory @admin","AdminPanel/admin_users.spec.js","",""
"","5496","Orders: Page should handle loading states","chromium","Wed May 13 14:42:15 UTC 2026","passed","Wed May 13 14:42:21 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","16476","Account: User should be able to access all account pages","chromium","Wed May 13 14:41:54 UTC 2026","passed","Wed May 13 14:42:10 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","5484","Navigation: Wishlist link should be accessible from home","chromium","Wed May 13 14:41:48 UTC 2026","passed","Wed May 13 14:41:54 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","388","Should edit a product successfully","admin","Wed May 13 14:44:40 UTC 2026","skipped","Wed May 13 14:44:41 UTC 2026","Admin Product Management @admin","AdminPanel/admin_products.spec.js","",""
"","6856","Products: Quantity increment/decrement works","chromium","Wed May 13 14:39:47 UTC 2026","passed","Wed May 13 14:39:54 UTC 2026","Product Browsing & Filtering @products @smoke","products.spec.js","",""
"","629","Signup: Signup button should be enabled","chromium","Wed May 13 14:34:28 UTC 2026","passed","Wed May 13 14:34:29 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","10030","Checkout: Page should display all required sections","chromium","Wed May 13 14:37:54 UTC 2026","passed","Wed May 13 14:38:04 UTC 2026","Checkout Flow Tests @checkout @regression","checkout.spec.js","",""
"","11107","Cart: Cart should persist after page refresh","chromium","Wed May 13 14:37:22 UTC 2026","passed","Wed May 13 14:37:33 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","5368","Navigation: Orders link should be accessible from home","chromium","Wed May 13 14:41:43 UTC 2026","passed","Wed May 13 14:41:48 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","1973","Should display log details","admin","Wed May 13 14:42:32 UTC 2026","passed","Wed May 13 14:42:34 UTC 2026","Admin Activity Logs @admin","AdminPanel/admin_activity_logs.spec.js","",""
"","652","Should display validation errors for empty fields","chromium","Wed May 13 14:39:05 UTC 2026","passed","Wed May 13 14:39:05 UTC 2026","Contact Form Tests @contact","contact.spec.js","",""
"","6931","Products: Pagination controls work","chromium","Wed May 13 14:39:54 UTC 2026","passed","Wed May 13 14:40:01 UTC 2026","Product Browsing & Filtering @products @smoke","products.spec.js","",""
"","647","Forgot Password: Email input accepts text","chromium","Wed May 13 14:35:05 UTC 2026","passed","Wed May 13 14:35:05 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","3024","Dashboard should display key statistics","admin","Wed May 13 14:42:40 UTC 2026","passed","Wed May 13 14:42:43 UTC 2026","Admin Dashboard & Navigation Tests @admin","AdminPanel/admin_dashboard_navigation.spec.js","",""
"","650","Signup: Sign in link should navigate to login page","chromium","Wed May 13 14:34:28 UTC 2026","passed","Wed May 13 14:34:28 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","16948","Orders: Navigation links should work","chromium","Wed May 13 14:40:49 UTC 2026","passed","Wed May 13 14:41:06 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","846","Should display error for invalid email format","chromium","Wed May 13 14:39:05 UTC 2026","passed","Wed May 13 14:39:06 UTC 2026","Contact Form Tests @contact","contact.spec.js","",""
"","2036","Should verify user directory table visibility","admin","Wed May 13 14:46:53 UTC 2026","passed","Wed May 13 14:46:56 UTC 2026","Admin User Directory @admin","AdminPanel/admin_users.spec.js","",""
"","5606","Should add and delete a category","admin","Wed May 13 14:42:34 UTC 2026","passed","Wed May 13 14:42:40 UTC 2026","Admin Category Management @admin","AdminPanel/admin_categories.spec.js","",""
"","8444","Login: User can login with valid credentials","chromium","Wed May 13 14:34:45 UTC 2026","passed","Wed May 13 14:34:53 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","696","Login: Page should display heading and form fields","chromium","Wed May 13 14:34:53 UTC 2026","passed","Wed May 13 14:34:54 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","12317","Cart: Empty cart should display appropriate message","chromium","Wed May 13 14:36:35 UTC 2026","passed","Wed May 13 14:36:47 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","5101","Profile: Page should load when accessed","chromium","Wed May 13 14:40:01 UTC 2026","passed","Wed May 13 14:40:06 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","9042","Products: Should be able to search for a product","chromium","Wed May 13 14:39:12 UTC 2026","passed","Wed May 13 14:39:21 UTC 2026","Product Browsing & Filtering @products @smoke","products.spec.js","",""
"","7456","Products: Should filter by category","chromium","Wed May 13 14:39:21 UTC 2026","passed","Wed May 13 14:39:29 UTC 2026","Product Browsing & Filtering @products @smoke","products.spec.js","",""
"","12182","Cart: Remove item should empty cart","chromium","Wed May 13 14:36:23 UTC 2026","passed","Wed May 13 14:36:35 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","10416","Cart Icon: Should display item count in navigation","chromium","Wed May 13 14:37:12 UTC 2026","passed","Wed May 13 14:37:22 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","648","Signup: Page should display all form fields","chromium","Wed May 13 14:34:27 UTC 2026","passed","Wed May 13 14:34:28 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","13892","Cart: Should display cart with added product","chromium","Wed May 13 14:35:18 UTC 2026","passed","Wed May 13 14:35:32 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","692","Login: Create account link should navigate to signup page","chromium","Wed May 13 14:34:54 UTC 2026","passed","Wed May 13 14:34:55 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","5429","Products: Should display product grid on home page","chromium","Wed May 13 14:39:07 UTC 2026","passed","Wed May 13 14:39:12 UTC 2026","Product Browsing & Filtering @products @smoke","products.spec.js","",""
"","677","Forgot Password: Back to login link works","chromium","Wed May 13 14:35:04 UTC 2026","passed","Wed May 13 14:35:05 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","671","Navigation: QuickKart logo navigates to home","chromium","Wed May 13 14:35:17 UTC 2026","passed","Wed May 13 14:35:17 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","3414","Should filter logs by level","admin","Wed May 13 14:42:29 UTC 2026","passed","Wed May 13 14:42:32 UTC 2026","Admin Activity Logs @admin","AdminPanel/admin_activity_logs.spec.js","",""
"","681","Signup: User cannot signup with empty full name","chromium","Wed May 13 14:34:29 UTC 2026","passed","Wed May 13 14:34:30 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","15671","Wishlist: Navigation links should work","chromium","Wed May 13 14:41:22 UTC 2026","passed","Wed May 13 14:41:38 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","5369","Wishlist: Page should load when accessed","chromium","Wed May 13 14:41:06 UTC 2026","passed","Wed May 13 14:41:11 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","10421","Checkout: Should be able to fill shipping information","chromium","Wed May 13 14:38:04 UTC 2026","passed","Wed May 13 14:38:14 UTC 2026","Checkout Flow Tests @checkout @regression","checkout.spec.js","",""
"","684","Signup: Password toggles visibility","chromium","Wed May 13 14:34:44 UTC 2026","passed","Wed May 13 14:34:45 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","14150","Signup: User cannot create account with already registered email","chromium","Wed May 13 14:34:30 UTC 2026","passed","Wed May 13 14:34:44 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","404","Should create a new product successfully","admin","Wed May 13 14:44:30 UTC 2026","skipped","Wed May 13 14:44:31 UTC 2026","Admin Product Management @admin","AdminPanel/admin_products.spec.js","",""
"","10075","Products: Should filter by price range","chromium","Wed May 13 14:39:29 UTC 2026","passed","Wed May 13 14:39:39 UTC 2026","Product Browsing & Filtering @products @smoke","products.spec.js","",""
"","401","Should delete a product","admin","Wed May 13 14:44:45 UTC 2026","skipped","Wed May 13 14:44:46 UTC 2026","Admin Product Management @admin","AdminPanel/admin_products.spec.js","",""
"","9814","Cart: Order summary calculations should be correct","chromium","Wed May 13 14:35:42 UTC 2026","passed","Wed May 13 14:35:52 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","10037","Cart: Navigation links should work","chromium","Wed May 13 14:37:02 UTC 2026","passed","Wed May 13 14:37:12 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","7337","Signup: User can create account with valid data","chromium","Wed May 13 14:34:20 UTC 2026","passed","Wed May 13 14:34:27 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","10085","Profile: Should upload User Profile picture","chromium","Wed May 13 14:40:23 UTC 2026","passed","Wed May 13 14:40:34 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","28830","Checkout: Should complete full checkout flow successfully","chromium","Wed May 13 14:38:14 UTC 2026","passed","Wed May 13 14:38:43 UTC 2026","Checkout Flow Tests @checkout @regression","checkout.spec.js","",""
"","9682","Cart: Proceed to checkout should navigate to checkout page","chromium","Wed May 13 14:36:02 UTC 2026","passed","Wed May 13 14:36:12 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","6787","Profile: Navigation links should work","chromium","Wed May 13 14:40:12 UTC 2026","passed","Wed May 13 14:40:18 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","5646","Wishlist: Explore products button should navigate to home","chromium","Wed May 13 14:41:16 UTC 2026","passed","Wed May 13 14:41:22 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","656","Login: Email and password inputs should accept text","chromium","Wed May 13 14:34:54 UTC 2026","passed","Wed May 13 14:34:54 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","390","Should resolve a support ticket","admin","Wed May 13 14:45:49 UTC 2026","skipped","Wed May 13 14:45:50 UTC 2026","Admin Support Management @admin","AdminPanel/admin_support.spec.js","",""
"","3454","Should verify Notifications screen","admin","Wed May 13 14:43:06 UTC 2026","passed","Wed May 13 14:43:09 UTC 2026","Admin Dashboard & Navigation Tests @admin","AdminPanel/admin_dashboard_navigation.spec.js","",""
"","11335","Forgot Password: Full reset flow works","chromium","Wed May 13 14:35:05 UTC 2026","passed","Wed May 13 14:35:17 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","5626","Orders: Page should load when accessed","chromium","Wed May 13 14:40:34 UTC 2026","passed","Wed May 13 14:40:39 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","5310","Wishlist: Should display empty message for new users","chromium","Wed May 13 14:41:11 UTC 2026","passed","Wed May 13 14:41:16 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","649","Should verify support contact information","chromium","Wed May 13 14:39:06 UTC 2026","passed","Wed May 13 14:39:07 UTC 2026","Contact Form Tests @contact","contact.spec.js","",""
"","8206","Products: Should view product details","chromium","Wed May 13 14:39:39 UTC 2026","passed","Wed May 13 14:39:47 UTC 2026","Product Browsing & Filtering @products @smoke","products.spec.js","",""
"","22713","Should navigate between admin modules","admin","Wed May 13 14:42:43 UTC 2026","passed","Wed May 13 14:43:06 UTC 2026","Admin Dashboard & Navigation Tests @admin","AdminPanel/admin_dashboard_navigation.spec.js","",""
"","14361","Cart: Adding multiple quantities should update cart","chromium","Wed May 13 14:36:47 UTC 2026","passed","Wed May 13 14:37:02 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","382","Should filter tickets by status","admin","Wed May 13 14:46:53 UTC 2026","skipped","Wed May 13 14:46:53 UTC 2026","Admin Support Management @admin","AdminPanel/admin_support.spec.js","",""
"","616","Forgot Password: Page should load with form","chromium","Wed May 13 14:35:03 UTC 2026","passed","Wed May 13 14:35:04 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","20438","Checkout: Validation prevents placing order without info","chromium","Wed May 13 14:38:43 UTC 2026","passed","Wed May 13 14:39:04 UTC 2026","Checkout Flow Tests @checkout @regression","checkout.spec.js","",""
